Year;Proportion of swallows perched;Perching probability x 1000
0;0;0
0;0.0;2.0
6;0.5;2.126
12;0.25;2.252
18;0.25;2.378
24;0.0;2.504
30;0.25;2.63
36;0.75;2.756
42;1.0;2.882
48;0.75;3.008
54;0.0;3.134
60;1.5;3.26
66;0.5;3.386
72;0.0;3.512
78;0.25;3.638
84;0.75;3.764
90;0.25;3.89
96;0.75;4.016
102;0.75;4.142
108;1.0;4.268
114;2.0;4.394
120;0.75;4.52
126;0.5;4.646
132;1.25;4.772
138;0.5;4.898
144;40.0;5.024
150;99.0;5.15
156;99.75;5.276
162;99.5;5.402
168;100.0;5.528
174;99.25;5.654
180;100.0;5.78
186;99.5;5.906
192;98.75;6.032
198;99.75;6.158
204;99.25;6.284
210;99.5;6.41
216;98.75;6.536
222;99.75;6.662
228;99.5;6.788
234;99.25;6.914
240;99.5;7.04
246;99.5;7.166
252;98.75;7.292
258;99.5;7.418
264;98.5;7.544
270;99.75;7.67
276;99.25;7.796
282;99.75;7.922
288;99.5;8.048
294;99.75;8.174
300;99.5;8.3
306;99.75;8.426
312;99.25;8.552
318;99.25;8.678
324;99.5;8.804
330;100.0;8.93
336;99.25;9.056
339;99.5;9.119
