Year;GazelleAvgThreshold;LionAvgThreshold;LionAvgScore
0;0;0;0
0;50;52;0
1;49;47;34
2;50;48;35
3;49;47;36
3;49;47;36
4;48;48;37
5;46;50;35
6;43;50;28
7;42;48;39
8;42;45;35
9;43;42;35
10;42;41;32
11;43;40;32
12;42;41;45
13;41;42;39
14;41;41;40
15;42;41;39
16;42;42;34
17;42;41;37
18;42;40;30
19;41;38;44
20;39;43;31
21;38;42;34
22;39;41;36
23;35;36;38
24;33;37;41
25;32;38;39
26;33;38;39
27;33;38;31
28;32;40;45
29;31;41;35
30;30;39;38
31;31;40;42
32;33;42;39
33;36;41;31
34;35;42;34
35;35;41;40
36;35;44;37
37;35;43;42
38;34;43;29
39;31;43;36
40;30;46;25
41;31;45;39
42;30;49;43
43;30;49;43
44;31;47;36
45;29;49;33
46;29;47;41
47;28;46;44
48;28;48;46
49;27;46;35
50;28;47;40
51;29;47;40
52;30;48;47
53;32;48;34
54;31;47;38
55;32;46;35
56;31;48;38
57;31;47;35
58;31;46;33
59;30;46;37
60;30;45;40
61;30;46;40
62;29;44;42
63;28;43;42
64;27;45;41
65;26;46;44
66;27;47;40
67;26;47;37
68;27;48;41
69;26;42;34
70;26;43;38
71;26;47;41
72;26;50;36
73;26;53;51
74;26;51;44
75;26;56;50
76;26;48;39
77;27;48;43
80;26;45;46
90;25;41;35
94;28;38;43
100;28;32;36
110;33;33;48
120;32;32;34
130;32;32;41
140;30;33;39
150;26;28;47
160;25;33;46
170;24;44;39
180;21;55;41
190;20;44;48
200;22;43;44
210;22;43;38
220;20;41;46
230;22;39;46
240;23;42;48
250;22;42;43
260;23;41;52
270;26;50;43
280;27;48;39
288;26;40;55
288;26;40;55
290;26;38;45
300;23;39;48
310;24;35;55
320;22;35;50
330;24;36;49
332;24;35;50
332;24;35;50
340;22;35;44
350;21;36;53
360;21;37;43
370;20;38;49
380;25;39;49
390;24;40;45
394;24;42;42
395;24;41;44
396;25;41;44
397;25;42;45
398;26;42;37
399;27;42;34
400;26;43;45
401;28;41;45
402;28;42;45
403;28;42;49
404;27;42;41
405;27;43;43
406;26;43;36
407;26;43;44
408;26;43;38
409;27;43;33
410;27;43;46
411;26;42;45
412;25;41;38
420;25;38;53
430;28;41;45
438;27;42;37
440;26;43;51
450;27;42;46
457;28;42;42
458;29;43;37
459;29;43;52
460;29;44;42
461;29;45;41
462;30;45;47
