Year;best;average
0;0;0
0;0;0
0;0;0
1;287;160
2;287;160
3;287;160
4;287;160
5;287;160
6;287;160
7;287;160
8;287;160
9;287;160
10;287;159
11;287;159
12;287;159
13;287;145
14;287;145
15;287;145
16;287;150
17;287;150
18;287;150
19;287;150
20;287;150
21;287;165
22;287;165
23;287;165
24;287;165
25;287;165
26;287;188
27;287;188
28;287;188
29;287;188
30;287;188
31;287;188
32;287;188
33;287;188
34;287;188
35;287;188
36;287;188
37;287;188
38;287;188
39;287;188
40;287;188
41;287;188
42;287;188
43;287;203
44;287;203
45;287;203
46;287;203
47;287;201
48;287;201
49;287;201
50;287;201
51;287;201
52;287;201
53;287;214
54;287;214
55;287;214
56;287;229
57;287;229
58;287;229
59;287;229
60;287;229
61;287;241
62;287;241
63;287;241
64;287;241
65;287;247
66;287;247
67;287;247
68;287;247
69;287;247
70;287;249
71;287;248
72;287;248
73;287;248
74;287;248
75;287;248
76;287;252
77;287;252
78;287;252
79;287;252
80;287;252
81;287;250
82;287;250
83;287;250
84;287;250
85;287;250
86;287;250
87;287;250
88;287;251
89;287;253
90;287;253
91;287;241
92;287;241
93;287;241
94;287;241
95;287;241
96;287;241
97;287;241
98;287;241
99;287;241
100;287;253
101;287;253
102;287;253
103;287;255
104;287;255
105;287;255
106;287;255
107;287;255
108;287;255
109;287;255
110;295;260
111;295;260
112;295;260
113;295;260
114;295;260
115;295;260
116;295;260
117;295;260
118;295;260
119;295;260
120;295;260
121;295;260
122;295;260
123;295;259
124;295;260
125;295;260
126;295;260
127;295;260
128;295;260
129;295;259
130;295;259
131;295;259
132;295;259
133;295;259
134;295;259
135;295;259
136;295;259
137;295;260
138;295;264
139;295;264
140;295;264
141;295;264
142;295;265
143;295;265
144;295;265
145;295;265
146;295;265
147;295;269
148;295;269
149;295;269
150;295;269
151;295;269
152;295;269
153;295;269
154;295;269
155;295;269
156;295;269
157;295;269
158;295;269
159;295;269
160;295;269
161;295;272
162;295;275
163;295;275
164;295;275
165;295;275
166;295;275
167;295;275
168;295;275
169;295;279
170;295;279
171;295;279
172;295;279
173;295;282
174;295;285
175;295;285
176;295;285
177;295;289
178;295;289
179;295;289
180;295;289
181;295;289
