Year;best;average
0;0;0
0;0;0
1;1;0
2;2;0
3;3;0
4;3;0
5;5;0
6;6;1
7;6;1
8;6;1
9;6;1
10;7;2
11;8;2
12;9;3
13;10;3
14;10;3
15;10;4
16;11;4
17;11;5
18;11;5
19;12;6
20;13;6
21;14;7
22;13;7
23;15;7
24;17;8
25;17;8
26;18;9
27;18;9
28;18;10
29;20;10
30;20;11
31;20;12
32;20;13
33;21;13
34;21;13
35;23;14
36;24;15
37;23;15
38;22;16
39;22;16
40;22;17
41;22;17
42;24;18
43;23;18
44;23;18
45;24;19
46;24;19
47;24;20
48;25;20
49;28;20
50;28;20
51;27;20
52;27;21
53;28;21
54;27;22
55;28;22
56;28;22
57;29;23
58;29;23
59;29;23
60;32;24
61;32;24
62;33;25
63;34;25
64;32;26
65;33;26
66;33;27
67;33;27
68;34;27
69;35;28
70;35;28
71;35;28
72;36;29
73;36;29
74;36;30
75;36;30
76;36;31
77;37;31
78;37;31
79;37;32
80;38;32
81;40;33
82;40;33
83;40;33
84;41;34
85;41;35
86;42;35
87;42;35
88;42;36
89;42;36
90;42;37
91;42;37
92;42;37
93;43;38
94;43;38
95;43;39
96;45;39
97;45;39
98;46;40
